GDD5,MTCO,Abies,Alnus,Betula,Picea,Pinus D,Quercus D,Gramineae
2505,-11.9,0,0,3,0,3,0,10
2320,-14.7,0,0,14,0,68,0,14
2133,-15.1,3,0,13,0,0,0,135
2191,-15.1,3,0,14,0,3,0,52
2305,-14.8,21,0,15,3,24,0,18
2851,-6.9,0,0,0,0,4,0,9
2875,-6.4,0,0,0,0,0,0,83
1741,-11.3,0,0,0,137,0,0,90
1672,-12.5,0,0,0,34,0,0,34
823,-19,288,0,53,48,192,0,53
1415,-18.7,5,5,310,0,115,0,240
1454,-18.6,0,0,205,0,15,0,33
1452,-18.7,0,3,328,3,117,0,144
1312,-18.4,0,3,204,3,274,0,82
1356,-18.5,0,0,108,0,735,0,29
1353,-18.5,0,4,139,0,688,0,4
1450,-18.4,0,5,150,0,114,0,127
1473,-18.6,0,0,328,0,162,0,12
1424,-18.7,0,0,203,0,72,0,34
1514,-18.6,0,0,212,0,108,0,139
1525,-18.6,0,5,231,0,140,0,149
1518,-18.5,0,0,30,0,122,0,43
1462,-18.7,0,11,194,0,27,0,280
1430,-18.6,0,0,111,0,11,0,50
1455,-18.6,4,11,204,0,64,0,93
1508,-18.6,0,4,23,0,23,0,398
1768,-17.7,0,0,47,0,0,0,235
1611,-17.5,0,3,17,0,3,0,127
1730,-18.1,0,0,96,0,77,0,77
1800,-17.3,0,0,37,0,15,0,30
1668,-18.1,0,0,94,0,24,0,453
1604,-17.7,0,0,25,0,4,0,92
1721,-16.8,0,0,46,0,18,0,338
2026,-14.8,0,9,22,0,9,0,207
1712,-17.6,0,0,7,0,0,0,20
1677,-17.7,0,5,34,0,5,0,49
1725,-17.4,0,3,29,0,32,0,19
1501,-18.1,0,0,48,0,11,0,22
1693,-16.6,4,0,19,0,8,0,23
1972,-15.5,0,0,9,0,9,5,50
1804,-16.5,0,0,11,0,16,0,5
1706,-16.8,0,0,12,0,12,0,0
2124,-15.2,0,5,5,0,0,0,0
1922,-15.6,0,5,15,0,10,0,152
1697,-17.1,0,0,52,0,7,0,7
